Airport	E3_T3	Country	Area	Hub	Topology	Configured_Hub	cus_cod	cust_alpha	cus_nam	vpn_nam	VR	Int	Primary_Serial	VRF	IPBW	COS	ServiceNetType	Interface_description	Bandwidth	CMT__remote_device	USID	connection_EUCLID	carrier_name	circuit_usage	circuit_type	circuit_speed	circuit_status	CircuitRef
ABQ		UNITED STATES	PABQ036	PABQ036	Standalone	8192	56067	ABQ APCN ROUTER	airportcomsol-gen	airportnet_icn		Tunnel121	gigabitethernet0/0/1	airportnet_icn	64	%D1, %D2, %D3	APCN	--- To ZEN NODE:dfw1-vpn.zscalertwo.net-165.225.34.35 - ORCH=DEPORT ---	8000	DFW1	FI01XZ8JB4	CA0C7SPPB3	SELECT OFFNET	MAINLINE	POTS	5000	-	
ABQ		UNITED STATES	PABQ036	PABQ036	Standalone	8192	56067	ABQ APCN ROUTER	airportcomsol-gen	airportnet_icn		Tunnel122	gigabitethernet0/0/1	airportnet_icn	64	%D1, %D2, %D3	APCN	--- To ZEN NODE:qla1-vpn.zscalertwo.net-104.129.198.35 - ORCH=DEPORT ---	8000	QLA1	FI01XZ8JB4	CA0C7SPPB3	SELECT OFFNET	MAINLINE	POTS	5000	-	
ATL		UNITED STATES	PATL2292	PATL2292	Standalone	8192	10503	APCN-CAT1-ATL-IPVPN	airportnet	airportnet_icn		Tunnel121	gigabitethernet0/0/1	airportnet_icn	2048	60%D1, 30%D2, 10%D3	APCN	--- To ZEN NODE:atl2-2-vpn.zscalertwo.net-104.129.205.81 - ORCH=DEPORT ---	5120	ATL2								
ATL		UNITED STATES	PATL2292	PATL2292	Standalone	8192	10503	APCN-CAT1-ATL-IPVPN	airportnet	airportnet_icn		Tunnel122	gigabitethernet0/0/1	airportnet_icn	2048	60%D1, 30%D2, 10%D3	APCN	--- To ZEN NODE:chi1-vpn.zscalertwo.net-104.129.196.35 - ORCH=DEPORT ---	5120	CHI1								
BRU		BELGIUM	PBRU2257	PBRU2257	Standalone	100000	41644	BRU-LAB1	sita airport services	airportnet_icn		Tunnel121	gigabitethernet0/1	airportnet_icn	2000		APCN	--- To ZEN NODE:bru2-vpn.zscalertwo.net-165.225.12.28 - ORCH=DEPORT ---	8000	BXBT711	FI00F6GFC7	CA0ECAW9CB	COLT TECHNOLOGY SERVICES	MAINLINE	VMI	20480	ACTIVE	
BRU		BELGIUM	PBRU2257	PBRU2257	Standalone	100000	41644	BRU-LAB1	sita airport services	airportnet_icn		Tunnel122	gigabitethernet0/1	airportnet_icn	2000		APCN	--- To ZEN NODE:dus1-vpn.zscalertwo.net-147.161.226.66 - ORCH=DEPORT ---	8000	DUS1	FI00F6GFC7	CA0ECAW9CB	COLT TECHNOLOGY SERVICES	MAINLINE	VMI	20480	ACTIVE	
CKY		GUINEA	PCKY163.PCKY164	PCKY131	Primary	8192/8000	56064	-	aph shared internet	aph_shared_internet	PCKY163	Tunnel81	gigabitethernet8	aph_shared_internet	1024	54%D1, 27%D2, 8%D3	APH	--- To ZEN NODE:fra4-vpn.zscalertwo.net-165.225.72.35 - ORCH=DEPORT ---	1024	FRA4	FI01SBSBEF	CA0BLA7TC9	CMC NETWORKS	MAINLINE	POTS	2048	-	CA0BLA7TC9
CKY		GUINEA	PCKY163.PCKY164	PCKY131	Primary	8192/8000	56064	-	aph shared internet	aph_shared_internet	PCKY163	Tunnel82	gigabitethernet8	aph_shared_internet	1024	54%D1, 27%D2, 8%D3	APH	--- To ZEN NODE:mad3-vpn.zscalertwo.net-165.225.92.26 - ORCH=DEPORT ---	1024	MAD3	FI01SBSBEF	CA0BLA7TC9	CMC NETWORKS	MAINLINE	POTS	2048	-	CA0BLA7TC9
MID		MEXICO	PMID027	PMID027	Standalone	8000	10503	-	airportnet	airportnet_icn		Tunnel121	gigabitethernet0/1	airportnet_icn	64	%D1, %D2, %D3	APCN	--- To ZEN NODE:mex1-vpn.zscalertwo.net-136.226.0.29 - ORCH=DEPORT ---	512	MEX1	FI01RJEWCA	CA0BJDPPD3	-	MAINLINE	POTS	8000	-	
MID		MEXICO	PMID027	PMID027	Standalone	8000	10503	-	airportnet	airportnet_icn		Tunnel122	gigabitethernet0/1	airportnet_icn	64	%D1, %D2, %D3	APCN	--- To ZEN NODE:qla1-vpn.zscalertwo.net-104.129.198.35 - ORCH=DEPORT ---	512	QLA1	FI01RJEWCA	CA0BJDPPD3	-	MAINLINE	POTS	8000	-	
MXL		MEXICO	PMXL043	PMXL043	Standalone	4096	56067	-	airportcomsol-gen	airportnet_icn		Tunnel121	gigabitethernet0/0/1	airportnet_icn	2048	%D1, %D2, %D3	APCN	--- To ZEN NODE:mex1-vpn.zscalertwo.net-136.226.0.29 - ORCH=DEPORT ---	512	MEX1	FI026GKZD0	CA0DYA27D1	AXTEL S.A. DE C.V.	MAINLINE	VMI	2048	ACTIVE	
MXL		MEXICO	PMXL043	PMXL043	Standalone	4096	56067	-	airportcomsol-gen	airportnet_icn		Tunnel122	gigabitethernet0/0/1	airportnet_icn	2048	%D1, %D2, %D3	APCN	--- To ZEN NODE:qla1-vpn.zscalertwo.net-104.129.198.35 - ORCH=DEPORT ---	512	QLA1	FI026GKZD0	CA0DYA27D1	AXTEL S.A. DE C.V.	MAINLINE	VMI	2048	ACTIVE	
PEK		CHINA	PPEK620.PPEK621	PPEK080	Primary	46080/100000	56064	-	aph shared internet	aph_shared_internet	PPEK620	Tunnel81	gigabitethernet0/2	aph_shared_internet	5120	54%D1, 27%D2, 8%D3	APH	--- To ZEN NODE:bjs1-vpn.zscalertwo.net-211.144.19.17 - ORCH=DEPORT ---	5120	BJS1	FI00AY19D9	CA0EBS63AE	SELECT OFFNET	MAINLINE	POTS		ACTIVE	B16825037
PEK		CHINA	PPEK620.PPEK621	PPEK080	MCS	46080/100000	56064	-	aph shared internet	aph_shared_internet	PPEK620	Tunnel82	gigabitethernet0/0/0	aph_shared_internet	5120	54%D1, 27%D2, 8%D3	APH_LBO	--- To ZEN NODE:sha2-vpn.zscalertwo.net-140.210.152.29 - ORCH=DEPORT ---	5120	SHA2	FI00AY19D9	CA0EBS63AE	SELECT OFFNET	MAINLINE	POTS	30720	ACTIVE	
RIC		UNITED STATES	PRIC201	PRIC201	Standalone	8192	10503	APCN-CAT1-RIC-IPVPN-TEMP	airportnet	airportnet_icn		Tunnel121	gigabitethernet0/0/1	airportnet_icn	5120	60%D1, 30%D2, 10%D3	APCN	--- To ZEN NODE:nyc3-vpn.zscalertwo.net-165.225.38.161 - ORCH=DEPORT ---	5250	NYC3								
RIC		UNITED STATES	PRIC201	PRIC201	Standalone	8192	10503	APCN-CAT1-RIC-IPVPN-TEMP	airportnet	airportnet_icn		Tunnel122	gigabitethernet0/0/1	airportnet_icn	5120	60%D1, 30%D2, 10%D3	APCN	--- To ZEN NODE:was1-vpn.zscalertwo.net-104.129.194.35 - ORCH=DEPORT ---	5250	WAS1								
SBD		UNITED STATES	PSBD011	PSBD011	Standalone	8192	56067	-	airportcomsol-gen	airportnet_icn		Tunnel121	fastethernet4	airportnet_icn	64	%D1, %D2, %D3	APCN	--- To ZEN NODE:qla1-vpn.zscalertwo.net-104.129.198.35 - ORCH=DEPORT ---	512	QLA1								
SBD		UNITED STATES	PSBD011	PSBD011	Standalone	8192	56067	-	airportcomsol-gen	airportnet_icn		Tunnel122	fastethernet4	airportnet_icn	64	%D1, %D2, %D3	APCN	--- To ZEN NODE:den3-vpn.zscalertwo.net-165.225.10.28 - ORCH=DEPORT ---	512	DEN3								
VER		MEXICO	PVER064	PVER064	Standalone	8000	10503	-	airportnet	airportnet_icn		Tunnel121	gigabitethernet0/1	airportnet_icn	576	%D1, %D2, %D3	APCN	--- To ZEN NODE:mex1-vpn.zscalertwo.net-136.226.0.29 - ORCH=DEPORT ---	512	MEX1	FI01RJEDD9	CA0BFU91D4	-	MAINLINE	POTS	8000	-	
VER		MEXICO	PVER064	PVER064	Standalone	8000	10503	-	airportnet	airportnet_icn		Tunnel122	gigabitethernet0/1	airportnet_icn	576	%D1, %D2, %D3	APCN	--- To ZEN NODE:nld1-vpn.zscalertwo.net -165.225.218.28 - ORCH=DEPORT ---	512	NLD1	FI01RJEDD9	CA0BFU91D4	-	MAINLINE	POTS	8000	-	
VSA		MEXICO	PVSA019	PVSA019	Standalone	16384	10503	-	airportnet	airportnet_icn		Tunnel121	gigabitethernet0/1	airportnet_icn	576	60%D1, 30%D2, 9%D3	APCN	--- To ZEN NODE:mex1-vpn.zscalertwo.net-136.226.0.29 - ORCH=DEPORT ---	8000	MEX1	FI01RJEQCC	CA0BG00XE0	-	MAINLINE	POTS	8000	-	
VSA		MEXICO	PVSA019	PVSA019	Standalone	16384	10503	-	airportnet	airportnet_icn		Tunnel122	gigabitethernet0/1	airportnet_icn	576	60%D1, 30%D2, 9%D3	APCN	--- To ZEN NODE:nld1-vpn.zscalertwo.net -165.225.218.28 - ORCH=DEPORT ---	8000	NLD1	FI01RJEQCC	CA0BG00XE0	-	MAINLINE	POTS	8000	-	
YKF		CANADA	PYKF054	PYKF054	Standalone	8192	41644	-	sita airport services	airportnet_icn		Tunnel121	gigabitethernet0/0/1	airportnet_icn	7168	60%D1, 30%D2, 10%D3	APCN	--- To ZEN NODE:yto3-vpn.zscalertwo.net-165.225.208.28 - ORCH=DEPORT ---	5120	YTO3								
YKF		CANADA	PYKF054	PYKF054	Standalone	8192	41644	-	sita airport services	airportnet_icn		Tunnel122	gigabitethernet0/0/1	airportnet_icn	7168	60%D1, 30%D2, 10%D3	APCN	--- To ZEN NODE:ymq1-vpn.zscalertwo.net-165.225.212.29 - ORCH=DEPORT ---	5120	YMQ1								
YQT		CANADA	PYQT014	PYQT014	Standalone	8192	56067	-	airportcomsol-gen	airportnet_icn		Tunnel121	gigabitethernet0/1	airportnet_icn	576	%D1, %D2, %D3	APCN	--- To ZEN NODE:yto3-vpn.zscalertwo.net-165.225.208.28 - ORCH=DEPORT ---	8000	YTO3								
YQT		CANADA	PYQT014	PYQT014	Standalone	8192	56067	-	airportcomsol-gen	airportnet_icn		Tunnel122	gigabitethernet0/1	airportnet_icn	576	%D1, %D2, %D3	APCN	--- To ZEN NODE:ymq1-vpn.zscalertwo.net-165.225.212.29 - ORCH=DEPORT ---	8192	YMQ1								
YTZ		CANADA	PYTZ125.PYTZ126	PYTZ125	MCS	8192	10503	-	airportnet	airportnet_icn		Tunnel121	gigabitethernet0/0/0	airportnet_icn	8192	%D1, %D2, %D3	APCN	--- To ZEN NODE:yto3-vpn.zscalertwo.net-165.225.208.28 - ORCH=DEPORT ---	512	YTO3	FI022D7MCE	CA0D0GCVA1	SELECT OFFNET	MAINLINE	POTS	8192	-	
YTZ		CANADA	PYTZ125.PYTZ126	PYTZ125	MCS	8192	10503	-	airportnet	airportnet_icn		Tunnel122	gigabitethernet0/0/0	airportnet_icn	8192	%D1, %D2, %D3	APCN	--- To ZEN NODE:ymq1-vpn.zscalertwo.net-165.225.212.29 - ORCH=DEPORT ---	512	YMQ1	FI022D7MCE	CA0D0GCVA1	SELECT OFFNET	MAINLINE	POTS	8192	-	
CKY		GUINEA	PCKY163.PCKY164	PCKY132	Secondary	8192/8000	56064	-	aph shared internet	aph_shared_internet	PCKY164	Tunnel81	gigabitethernet8	aph_shared_internet	1024	54%D1, 27%D2, 8%D3	APH	--- To ZEN NODE:fra4-vpn.zscalertwo.net-165.225.72.35 - ORCH=DEPORT ---	1024	FRA4	FI01SBSJE7	CA0BJYQF8B	-	MAINLINE	POTS	2048	-	CA0BJYQF8B
CKY		GUINEA	PCKY163.PCKY164	PCKY132	Secondary	8192/8000	56064	-	aph shared internet	aph_shared_internet	PCKY164	Tunnel82	gigabitethernet8	aph_shared_internet	1024	54%D1, 27%D2, 8%D3	APH	--- To ZEN NODE:mad3-vpn.zscalertwo.net-165.225.92.26 - ORCH=DEPORT ---	1024	MAD3	FI01SBSJE7	CA0BJYQF8B	-	MAINLINE	POTS	2048	-	CA0BJYQF8B
EWR1		UNITED STATES	PEWR1020.PEWR1021	PEWR1006	Secondary	1000000/100000	56064	-	aph shared internet	aph_shared_internet	PEWR1021	Tunnel81	gigabitethernet0/0/0	aph_shared_internet	5120	60%D1, 30%D2, 9%D3	APH	--- To ZEN NODE:dfw1-vpn.zscalertwo.net-165.225.34.35 - ORCH=DEPORT ---	25600	DFW1	FI025YFH86	CA0DUJQT8B	LUMEN TECHNOLOGIES LLC	MAINLINE	POTS	100000	ACTIVE	UNI:NJ/KXFN/612859/LVLC
