Device_name	Device_reference	interface_name	Status_Up_Down	HW_Status	Prot__status	Itf__use	Interface_description	Bandwidth	UCPE_name	Site_Code_Iata	Provider	UploadSpeed	DownloadSpeed	CarrierZoneRef	Offer_NAME	DSLServicetype
PADL389	PADL389	gigabitethernet3	U	up	up	WAN-INTERNET-VMS IP-LINE ETHERNET VIA FIBRE 50M	UCPE-WAN-GE0-1 ORCH=RESEAU	1000000	UCPEADL0002	ADL	AAPT LIMITED	46000	48000	AUS0050926	VMS IP-Line Ethernet via Fibre 50M	Select DSL
PAEP127	PAEP127	gigabitethernet3	U	up	up	WAN-INTERNET-VMS TRANSITO IP DEDICADO 20M	UCPE-WAN-GE0-1 ORCH=RESEAU	1000000	UCPEAEP0002	AEP	TELECOM ARGENTINA	20000	20000	ARG0064409	VMS TRANSITO IP DEDICADO 20M	Select DSL
PAKL763	PAKL763	gigabitethernet3	U	up	up	WAN-INTERNET-VMS WHOLESALE INTERNET DIRECT (W-ID) 200M	UCPE-WAN-GE0-1 ORCH=RESEAU	1000000	UCPEAKL0002	AKL	VODAFONE NEW ZEALAND LIMITED	200000	200000	NZL0055060	VMS Wholesale Internet Direct (W-ID) 200M	Select DSL
PAMS2791	PAMS2791	gigabitethernet3	U	up	up	WAN-INTERNET-SIA OFFNET NL < 100M	WAN1 ORCH=RESEAU	1000000	UCPEAMS0001	AMS	Select Offnet	100000	100000	SN3632EN00	SIA Offnet NL < 100M	Select DSL
PANC101	PANC101	gigabitethernet3	U	up	up	WAN-INTERNET-VMS ADI (AT&T DEDICATED INTERNET) 50M	WAN1 ORCH=RESEAU	1000000	UCPEANC0002	ANC	AT&T	10000	10000	USA0051484	VMS ADI (AT&T Dedicated Internet) 50M	Select DSL
PARN183	PARN183	gigabitethernet3	U	up	up	WAN-INTERNET-VMS DGC INTERNET FIBRE 100M	WAN1 ORCH=RESEAU	1000000	UCPEARN0002	ARN	GLOBALCONNECT	100000	100000	SWE0047800	VMS DGC Internet Fibre 100M	Select DSL
PASU160	PASU160	gigabitethernet3	U	up	up	WAN-INTERNET-VMS INTERNET DIA FO 20M	UCPE-WAN-GE0-1 ORCH=RESEAU	1000000	UCPEASU0002	ASU	TIGO	20000	20000	PRY0067964	VMS Internet DIA FO 20M	Select DSL
PAUA144	PAUA144	gigabitethernet3	U	up	up	WAN-INTERNET-SIA OFFNET AW < 8M	WAN1 ORCH=RESEAU	1000000	UCPEAUA0002	AUA	Select Offnet	40960	40960	FA517VEN00	SIA Offnet AW < 8M	Select DSL
PBCN3206	PBCN3206	gigabitethernet3	U	up	up	WAN-INTERNET-VMS INTERNET+ DEDICATED FIBER 100M	WAN1 ORCH=RESEAU	1000000	UCPEBCN0004	BCN	ORANGE SPAIN	93700	90700	ESP0064856	VMS INTERNET+ Dedicated Fiber 100M	Select DSL
PBKI074	PBKI074	gigabitethernet3	U	up	up	WAN-INTERNET-VMS TM DIRECT 5M	WAN1 ORCH=RESEAU	1000000	UCPEBKI0002	BKI	TELEKOM MALAYSIA	5000	5000	MYS0068923	VMS TM Direct 5M	Select DSL
