UCPE_name	hypervisor	CE_USID	IATA_code	site_code	customer_code	customer_code_catalog	chassis_vendor	chassis_hardware	CORE_site_id	chassis_type	plug_type	network_status	booking_status	remaining_days_to_delete	Last_update	CPU	Memory	Storage	Max_VNF	airporthub_router	role
UCPEADL0001	HADL0001	GO09KTKP3A	ADL	ADL	53849	IC01	cisco	encs5412/k9	CI00165211	BVPN	BVPNINT	No	Reserved	-	2019/08/09 10:23:14	12.0	16000.0	480000.0	4	PADL173	Primary
UCPEADL0002	HADL0002	GO09KTLR38	ADL	ADL	53849	IC01	cisco	encs5412/k9	CI00165212	BVPN	BVPNINT	No	Reserved	-	2019/08/09 10:31:58	12.0	16000.0	480000.0	4	PADL174	Secondary
UCPEAEP0001	HAEP0001	GO0AP5Y07F	AEP	AEP	53849	IC01	cisco	encs5412/k9	CI00178863	BVPN	BVPNINT	No	Reserved	-	2021/05/04 15:05:08	12.0	16000.0	480000.0	4	PAEP069	Secondary
UCPEAEP0002	HAEP0002	GO0AP5Y27D	AEP	AEP	53849	IC01	cisco	encs5412/k9	CI00178863	BVPN	BVPNINT	No	Reserved	-	2021/05/04 15:11:36	12.0	16000.0	480000.0	4	PAEP070	Primary
UCPEAKL0001	HAKL0001	GO09LM9L70	AKL	AKL	53849	IC01	cisco	encs5412/k9	CI00100904	BVPN	BVPNINT	No	Reserved	-	2019/09/16 08:08:39	12.0	16000.0	480000.0	4	PAKL320	Primary
UCPEAKL0002	HAKL0002	GO09LM9N72	AKL	AKL	53849	IC01	cisco	encs5412/k9	CI00100904	BVPN	BVPNINT	No	Reserved	-	2019/09/16 08:12:09	12.0	16000.0	480000.0	4	PAKL321	Secondary
UCPEAKL0003	HAKL0003	GO0A8UWZ53	AKL	AKL	53849	IC01	cisco	encs5412/k9	CI00205995	BVPN	BVPNINT	No	Reserved	-	2022/03/22 17:38:15	12.0	16000.0	480000.0	4	PAKL320	Primary
UCPEAKL0004	HAKL0004	GO0A8UX138	AKL	AKL	53849	IC01	cisco	encs5412/k9	CI00205995	BVPN	BVPNINT	No	Reserved	-	2022/03/23 09:18:27	12.0	16000.0	480000.0	4	PAKL321	Secondary
UCPEAMS0001	HAMS0001	GO09HKPZ71	AMS	AMS	53849	IC01	cisco	encs5412/k9	CI00165448	BVPN	BVPNINT	No	Reserved	-	2019/11/08 07:34:28	12.0	16000.0	480000.0	4	PSPL226	Secondary
UCPEAMS0002	HAMS0002	GO09HJU51B	AMS	AMS	53849	IC01	cisco	encs5412/k9	CI00165446	BVPN	BVPNINT	No	Reserved	-	2019/11/21 14:35:10	12.0	16000.0	480000.0	4	PSPL225	Primary
UCPEAMS0007	HAMS0007	GO0CTE6074	AMS	AMS	53849	IC01	cisco	encs5412/k9	CI00164562	BVPN	BVPNINT	No	Reserved	-	2021/10/28 11:27:37	12.0	16000.0	480000.0	4	PSPL225	Primary
UCPEAMS0008	HAMS0008	GO0CRVUS7E	AMS	AMS	53849	IC01	cisco	encs5412/k9	CI00164564	BVPN	BVPNINT	No	Reserved	-	2021/10/28 11:34:13	12.0	16000.0	480000.0	4	PSPL226	Secondary
UCPEANC0001	HANC0001	GO09Y4NP7A	ANC	ANC	53849	IC01	cisco	encs5412/k9	CI00169852	BVPN	BVPNINT	No	Reserved	-	2019/11/28 22:31:17	12.0	16000.0	480000.0	4	PANC081	Primary
