Airport	Country	Area	Router	Type	Interface	Layer2	Speed	IPBW	DNA	URN	USID	MTN	POP	Carrier	CircuitRef	OB	SerialId	Booking	Meshing	OB_Ratio	ServiceNetType
AAL	DENMARK		PAAL038	Primary	gigabitethernet8	DSL	15000	5000			FI01QARQF5		LONX03	-	CA0B6R9RA0				airporthubnet		APH
AAL	DENMARK		PAAL039	Secondary	gigabitethernet8	DSL	15000	5000			FI01QARYFD		STOT02	-	CA0B6RABB0				airporthubnet		APH
ABJ	COTE D'IVOIRE		PABJ363	Primary	gigabitethernet0/0/1	MEA	100000	2000			FI026Q9HB5		ABJT05						airporthubnet		APH
ABJ	COTE D'IVOIRE		PABJ364	Secondary	gigabitethernet0/0/1	DSL	8192	8192			FI01R4WPC9		LONX03	SELECT OFFNET	XDAABJ1013				airporthubnet		APH
ABV	NIGERIA		PABV165	Primary	gigabitethernet0/0/1	DSL	8192	2048			FI01VN77B2		LONT04	SELECT OFFNET	CA0C9AF3BF				airporthubnet		APH
ABV	NIGERIA		PABV174	Secondary	gigabitethernet0/0/1	DSL	8192	2048			FI0204S99A		LONX03	SELECT OFFNET	CA0CGTC5C1				airporthubnet		APH
ABZ	UNITED KINGDOM		PABZ492	Primary	gigabitethernet0/0/1	MEA	100000	8000			GO0A999T36		ITST01	BT WHOLESALE	ETHC15299497				airporthubnet		APH
ABZ	UNITED KINGDOM		PABZ493	Secondary	gigabitethernet0/0/1	DSL	20000	16000			GO0A999B20		LONX03	TALK TALK TELECOMMUNICATIONS LIMITED	TTB0854155				airporthubnet		APH
ACC	GHANA		PACC389	Primary	gigabitethernet0/2	DSL	30720	30000			FI01HQD0F4		LONX03	ORANGE BUSINESS SERVICES	OBS_RA_SITA_AIRCOM_CNT_FOC_6MB_DI				airporthubnet		APH
ACC	GHANA		PACC394	Secondary	gigabitethernet0/1	MEA	10000	10000			FI028VHAAE		ACCT04	INTERNET SOLUTIONS GHANA LTD	CA0CNF01A9				airporthubnet		APH
ADD	ETHIOPIA		PADD290	Primary	gigabitethernet0/0/1	MEA	1000000	4000			FI01ZVNE90		ADDD01	-	Customer owned circuit				airporthubnet		APH
ADD	ETHIOPIA		PADD291	Secondary	gigabitethernet0/0/1	DSL	8192	4000			FI01ZVNK9E		LONX03	-	SITA/FO/SITA_BUNGO-BIC				airporthubnet		APH
ADL	AUSTRALIA		PADL173	Primary	fastethernet0/1/0	MEA	100000	20000	-	-	FI01NM0VD9	KMEL611	MELT02	TELSTRA	N3379003L				airporthubnet		APH
ADL	AUSTRALIA		PADL174	Secondary	fastethernet0/1/0	MEA	20480	20000			FI028VK1DE		SYDT02	TELSTRA	N2200908L				airporthubnet		APH
AEP	ARGENTINA		PAEP069	Secondary	gigabitethernet0/1/0	MEA	100000	30000			FI028FLTD8		MIAL02						airporthubnet		APH
AEP	ARGENTINA		PAEP070	Primary	gigabitethernet0/1/0	MEA	100000	20000	-	-	FI026SE9CB	KAEP610	BUEL01						airporthubnet		APH
AER	RUSSIAN FEDERATION		PAER018	Primary	gigabitethernet0/1	MEA	10000	1000			FI01M5SCDC		MOWD01	ORANGE BUSINESS SERVICES	ME003820SDH				airporthubnet		APH
AER	RUSSIAN FEDERATION		PAER019	Secondary	gigabitethernet0/1	MEA	10000	1000			FI01M5SEDA		LEDD01	ORANGE BUSINESS SERVICES	CA0ATRJX90				airporthubnet		APH
AGP	SPAIN		PAGP227	Primary	gigabitethernet0/1	MEA	1000000	10000			FI01FEKZE5		MADT04	ORANGE SPAIN	TIS-00000038923				airporthubnet		APH
AGP	SPAIN		PAGP228	Secondary	gigabitethernet0/1	DSL	1000000				FI01FEL08F		LONT04	VODAFONE ONO SAU	CA0EEV91B1				airporthubnet		APH
AGP	SPAIN		PAGP228	Secondary	serial0/0/0:0	FR	2048	2048			FI01FEL08F		BCNT02	VODAFONE ONO SAU	AETH/055965				airporthubnet		APH
AGU	MEXICO		PAGU053	Primary	gigabitethernet0/0/1	MEA	100000	10000			FI027XSP98		MTYL01	AXTEL S.A. DE C.V.	1-26RCX12				airporthubnet		APH
AGU	MEXICO		PAGU054	Secondary	gigabitethernet0/0/1	DSL	8192	15000			FI01TQ9W90		ATLL02	SELECT OFFNET	STA.52449.D001				airporthubnet		APH
AJA	FRANCE		PAJA254	Primary	gigabitethernet8	DSL	15000	2000			GO03BCAXC8		FRAX01	-	CA0ANAPXFA				airporthubnet		APH
AJA	FRANCE		PAJA255	Secondary	gigabitethernet8	DSL	15000	2000			GO03B8L4BE		FRAT01	Select Offnet	CA0ANARZF8				airporthubnet		APH
AKL	NEW ZEALAND		PAKL320	Primary	gigabitethernet0/1	MEA	100000	50000	-	-	FI01PAFFE1	KWLG610	WLGT02	VODAFONE NEW ZEALAND LIMITED	APL9094703				airporthubnet		APH
AKL	NEW ZEALAND		PAKL321	Secondary	gigabitethernet0/1	MEA	100000	50000	-	-	FI01PBFVFB	KAKL610	AKLT04	VODAFONE NEW ZEALAND LIMITED	APL9120470				airporthubnet		APH
ALC	SPAIN		PALC268	Primary	gigabitethernet0/0/1	MEA	10000				FI01FX6TA5		MADT04	ORANGE SPAIN	LAP00292803				airporthubnet		APH
ALC	SPAIN		PALC269	Secondary	serial0/1/0:0	FR	1984				FI01MEGDF8		BCNT02	ORANGE SPAIN	28100002771516				airporthubnet		APH
ALG	ALGERIA		PALG451	Primary	gigabitethernet0/2	MEA	100000	100000			FI026C09A8		LONX03						airporthubnet		APH
ALG	ALGERIA		PALG452	Secondary	gigabitethernet0/1	DSL	16384	16384					FRAX01	Select Offnet					airporthubnet		APH
AMM	JORDAN		PAMM245	Primary	gigabitethernet0/0/1	MEA	1000000	4000	-	-	FI01TW2Z89	KAMM510	AMMT03	ZAIN JORDAN	798274381				airporthubnet		APH
AMM	JORDAN		PAMM246	Secondary	gigabitethernet0/0/1	MEA	1000000	10000	-	-	FI01GQNX9C	KAMM610	AMMT04	JORDAN TELECOM GROUP	LLE0055320				airporthubnet		APH
AMS-SOA	NETHERLANDS		PAMS2600	Primary	gigabitethernet0/1	MEA	1000000	300000			FI01T75XCB		AMSX01	TELE2 NETHERLANDS NV	CA0BHD71B1				airporthubnet		APH
AMS-SOA	NETHERLANDS		PAMS2601	Secondary	gigabitethernet0/1	MEA	1000000	300000	-	-	FI01T760A3	KZYO550	ZYOT01	T MOBILE WHOLESALE	CA0BHD8HC8				airporthubnet		APH
AMS-1S	NETHERLANDS		PAMS2779	Standalone	gigabitethernet0/0/1	MEA	1000000	1000000	-	-	FI028EY6B0	KAMS650	AMST02						airporthubnet		APH
AMS-1A-S2	NETHERLANDS		PAMS3013	Standalone	gigabitethernet0/0/1	MEA	1000000	1000000			FI029WUPB9		AMST02						airporthubnet		APH
ANC	UNITED STATES		PANC081	Primary	gigabitethernet0/1	MEA	10000	5000			FI01JS6A89		SEAL02	AT&T	KPGN983893ATI				airporthubnet		APH
ANC	UNITED STATES		PANC082	Secondary	gigabitethernet0/1	MEA	100000	5000			FI01JS6G8F		SJCL03	AT&T	L4GN905995				airporthubnet		APH
ANP-s1	UNITED STATES		PANP045	Primary	gigabitethernet0/0/1	MEA	100000	6000			GO0AY3G76C		IADL01	LUMEN TECHNOLOGIES LLC	CA0D5DVKB6				airporthubnet		APH
ANP-s1	UNITED STATES		PANP046	Secondary	gigabitethernet0/0/1	DSL	10000	10000			GO0AY3G56E		NYCT02	LUMEN TECHNOLOGIES LLC	CA0D5M4B89				airporthubnet		APH
ANU	ANTIGUA AND BARBUDA		PANU060	Primary	gigabitethernet0/1	MEA	100000	20000			FI01NKKPCB		MIAL02	LIME	OR-108956				airporthubnet		APH
ANU	ANTIGUA AND BARBUDA		PANU061	Secondary	gigabitethernet0/1	DSL	81920	60000			FI01NKKRC9		ATLL02	SELECT OFFNET	SITAANBAR-091121				airporthubnet		APH
APW	SAMOA		PAPW017	Primary	gigabitethernet0/1	MEA	100000	4000	-	-	FI029RZ9CE	KRSE510	SYDX01	VODAFONE	LDC800				airporthubnet		APH
APW	SAMOA		PAPW022	Secondary	gigabitethernet0/1	DSL	1000000	4000			FI01VD3QE8		SINX01	DIGICELL	CA0BYAJRCC				airporthubnet		APH
