Device_name;Interface_name;Interface_Descr;BandWidth;Remote_Device;ORD__Customer_code;ORD__Customer_name
"PAAL038";"gigabitethernet2";"--- trunk to OCUP firewall or switches";"1000000";"-";"57617";"aph type 2 infrastructure"
"PAAL038";"gigabitethernet3";"--- trunk to EFM switch";"1000000";"-";"57617";"aph type 2 infrastructure"
"PAAL038";"gigabitethernet4";"--- trunk to other EFM switch";"1000000";"-";"57617";"aph type 2 infrastructure"
"PAAL038";"gigabitethernet5";"--- trunk to distribution external switch";"1000000";"-";"57617";"aph type 2 infrastructure"
"PAAL038";"gigabitethernet6";"--- Any other use";"1000000";"-";"57617";"aph type 2 infrastructure"
"PAAL038";"gigabitethernet7";"--- Any other use";"1000000";"-";"57617";"aph type 2 infrastructure"
"PAAL038";"gigabitethernet9";"--- For APH shared internet";"1000000";"-";"57617";"aph type 2 infrastructure"
"PAAL039";"gigabitethernet2";"--- trunk to OCUP firewall or switches";"1000000";"-";"57617";"aph type 2 infrastructure"
"PAAL039";"gigabitethernet3";"--- trunk to EFM switch";"1000000";"-";"57617";"aph type 2 infrastructure"
"PAAL039";"gigabitethernet4";"--- trunk to other EFM switch";"1000000";"-";"57617";"aph type 2 infrastructure"
"PAAL039";"gigabitethernet5";"--- trunk to distribution external switch";"1000000";"-";"57617";"aph type 2 infrastructure"
"PAAL039";"gigabitethernet6";"--- Any other use";"1000000";"-";"57617";"aph type 2 infrastructure"
"PAAL039";"gigabitethernet7";"--- Any other use";"1000000";"-";"57617";"aph type 2 infrastructure"
"PAAL039";"gigabitethernet9";"--- For APH shared internet";"1000000";"-";"57617";"aph type 2 infrastructure"
"PABJ363";"gigabitethernet0";"-";"1000000";"-";"53849";"airporthub"
"PABJ364";"gigabitethernet0";"-";"1000000";"-";"53849";"airporthub"
"PABV165";"gigabitethernet0";"-";"1000000";"-";"57617";"aph type 2 infrastructure"
"PABV174";"gigabitethernet0";"-";"1000000";"-";"57617";"aph type 2 infrastructure"
"PABZ492";"gigabitethernet0";"-";"1000000";"-";"53849";"airporthub"
"PABZ493";"gigabitethernet0";"-";"1000000";"-";"53849";"airporthub"
"PACC389";"serial0/0/0";"--- XNR=1359352A DNA=11164254105 MTN Port= interface admin shut refer clarify 14651741-1";"2048";"-";"53849";"airporthub"
"PACC389";"serial0/0/1";"-";"1544";"-";"53849";"airporthub"
"PADD290";"gigabitethernet0";"-";"1000000";"-";"53849";"airporthub"
"PADD291";"gigabitethernet0";"-";"1000000";"-";"53849";"airporthub"
"PADL173";"serial0/0/0";"-";"1984";"-";"53849";"airporthub"
"PADL173";"serial0/0/1";"-";"1544";"-";"53849";"airporthub"
"PADL174";"serial0/0/1";"-";"1544";"-";"53849";"airporthub"
"PAGU054";"gigabitethernet0";"--- B2B to PAGU053 ---";"1000000";"PAGU053";"53849";"airporthub"
"PAJA255";"gigabitethernet9";"-";"1000000";"-";"57617";"aph type 2 infrastructure"
"PAKL320";"atm2/0";"--- XNR=1205881E DNA=0000000156E8 CAKL5/121 MTN Port=";"33920";"CAKL5";"53849";"airporthub"
"PAKL320";"gigabitethernet0/3";"-";"1000000";"-";"53849";"airporthub"
"PAKL320";"serial1/0";"--- XNR = 734763G DNA = 4641169 MTN Port";"2048";"-";"53849";"airporthub"
"PAKL320";"serial1/1";"--- XNR=1033227I DNA=4641291 MTN Port=";"2048";"-";"53849";"airporthub"
"PAKL320";"serial1/2";"--- XNR=1092165I DNA=4641318 MTN Port=";"2048";"-";"53849";"airporthub"
"PAKL320";"serial1/3";"-";"1544";"-";"53849";"airporthub"
"PAKL321";"atm2/0";"-";"33920";"-";"53849";"airporthub"
"PAKL321";"gigabitethernet0/3";"-";"1000000";"-";"53849";"airporthub"
"PAKL321";"serial1/0";"-";"1544";"-";"53849";"airporthub"
"PAKL321";"serial1/1";"-";"1544";"-";"53849";"airporthub"
"PAKL321";"serial1/2";"-";"1544";"-";"53849";"airporthub"
"PAKL321";"serial1/3";"-";"1544";"-";"53849";"airporthub"
"PAKL762";"gigabitethernet3";"WAN1 ORCH=RESEAU";"1000000";"WAN1";"53849";"airporthub"
"PAKL814";"gigabitethernet7";"-";"1000000";"-";"53849";"airporthub"
"PAKL815";"gigabitethernet7";"-";"1000000";"-";"53849";"airporthub"
"PALC268";"gigabitethernet0";"-";"1000000";"-";"53849";"airporthub"
"PALG451";"gigabitethernet0/1";"-";"1000000";"-";"53849";"airporthub"
"PALG452";"gigabitethernet0/2";"-";"1000000";"-";"53849";"airporthub"
"PALG452";"serial0/1/1";"-";"1544";"-";"53849";"airporthub"
"PALG452";"serial0/2/1";"-";"1544";"-";"53849";"airporthub"
"PAMM245";"gigabitethernet0";"-";"1000000";"-";"53849";"airporthub"
"PAMM246";"gigabitethernet0";"-";"1000000";"-";"53849";"airporthub"
"PAMS2600";"gigabitethernet0/0/0";"-";"1000000";"-";"56066";"sita customer datacenter hub infra"
"PAMS2600";"gigabitethernet0/2/0";"-";"1000000";"-";"56066";"sita customer datacenter hub infra"
"PAMS2601";"gigabitethernet0/0/0";"-";"1000000";"-";"56066";"sita customer datacenter hub infra"
"PAMS2601";"gigabitethernet0/2/0";"-";"1000000";"-";"56066";"sita customer datacenter hub infra"
"PAMS2749";"atm0";"-";"4608";"-";"62332";"aph air back-up"
"PAMS2749";"ethernet0";"-";"100000";"-";"62332";"aph air back-up"
"PAMS2749";"fastethernet2";"--- Any other use";"100000";"-";"62332";"aph air back-up"
"PAMS3013";"gigabitethernet0/0/2";"-";"1000000";"-";"56066";"sita customer datacenter hub infra"
"PANC081";"fastethernet0/1/1";"-";"100000";"-";"53849";"airporthub"
"PANC081";"serial0/0/0";"--- XNR=1278192I DNA=4156260 MTN Port=";"2048";"-";"53849";"airporthub"
"PANC081";"serial0/0/1";"-";"2048";"-";"53849";"airporthub"
"PANC081";"serial0/0/2";"-";"2048";"-";"53849";"airporthub"
