Device_name	hostname	IP_admin	Device_reference	ORD__Node_status	ORD__Router_type___role	ORD__Customer_code	ORD__Customer_name	ORD__Main_Community___VPN	ORD__Origin	ORD__USID___Service_Usine	ORD__Orange_Site_Ref_	ORD__Customer_defined_code	ORD__Chassis_type	Center_code	ORD__Country_code	ORD__Country_name	ORD__POP_name	Chassis_type	CLI__CPU_reference	CFG__Router_description	Auto__Topo__Site_	Topo__Site_Ref_	Cascaded	Virt____Stack_	UCPE_name	model	ORD__POP_code	Site_Code_Iata	Peer_device	MCS_role	CPU	Memory	Storage
HADL0001	HADL0001	57.214.182.105																							UCPEADL0001	hypervisor		ADL					
PADL388	PADL388	57.214.182.104	PADL388	O/L	ICN_CPE_ROUTER	53849	airporthub	sita_sdwannet	SITA	FI0210RFFD	MS12006039 ~ 53849_AUS_ADELAIDE_00001 ~ ANDY THOMAS CIRCUIT | ADELAIDE LEVEL 1, ADELAIDE INTERNATIONAL AIRPORT, 5950, ADELAIDE, AUSTRALIA	-	encs5412/k9	-	AU	AUSTRALIA	ADELAIDE	cisco-integrated-services-virtual-router	VXE	INTEGRATED SERVICES VIRTUAL ROUTER SITA_SDWANNET ADELAIDE PADL388 Virtual Machine hosted by ENCS HADL0001 Infos:ZZZ Sdx Airports SOLUTIONS ARCHITECTS sdxairports.solutionsarchitects@orange.com	PADL388	PADL388		-	UCPEADL0001	router_center_isrv	ADL	ADL	PADL389	primary			
PADL417	PADL417	10.247.38.133				85	cathay pacific airways	cxnet																	UCPEADL0001	sdwan_center_vedge	ADL	ADL	-	-			
PADL419	PADL419	10.247.38.52	PADL419	O/L	ICN_CPE_ROUTER	60	singapore airlines ltd.	sqnet	SITA	FI02529XEF	CI00186821 ~ 60_AUS_ADELAIDE_007 ~ L01-A84, TERMINAL 1, 5950, ADELAIDE, AUSTRALIA	ADL_AP1_SDN	vedge-cloud-dna	-	AU	AUSTRALIA	ADELAIDE	vedge-cloud	-	 APH-S S0+ Primary vEdge PADL419\n Customer SQ Singapore Airlines\n Profile PLATINIUM + LBO ZSCALER + DBO	PADL419.PADL420	PADL419.PADL420		-	UCPEADL0001	sdwan_center_vedge	ADL	ADL	PADL420	primary	2	4096	10240
HADL0002	HADL0002	57.220.100.82																							UCPEADL0002	hypervisor		ADL					
PADL389	PADL389	57.220.100.81	PADL389	O/L	ICN_CPE_ROUTER	53849	airporthub	sita_sdwannet	SITA	FI0210RXE3	MSY5141393 ~ 53849_AUS_ADELAIDE AIRPORT_00001 ~ MCR SOUTH - LEVEL 1 ADELAIDE TERMINAL T1, 5950, ADELAIDE AIRPORT, AUSTRALIA	-	encs5412/k9	-	AU	AUSTRALIA	ADELAIDE	cisco-integrated-services-virtual-router	VXE	INTEGRATED SERVICES VIRTUAL ROUTER SITA_SDWANNET ADELAIDE PADL389 Virtual Machine hosted by ENCS HADL0002 Infos:ZZZ Sdx Airports SOLUTIONS ARCHITECTS sdxairports.solutionsarchitects@orange.com	PADL389	PADL389		-	UCPEADL0002	router_center_isrv	ADL	ADL	PADL388	backup			
PADL418	PADL418	10.247.38.134				85	cathay pacific airways	cxnet																	UCPEADL0002	sdwan_center_vedge	ADL	ADL	-	-			
PADL420	PADL420	10.247.38.53	PADL420	O/L	ICN_CPE_ROUTER	60	singapore airlines ltd.	sqnet	SITA	FI02529YEE	CI00186821 ~ 60_AUS_ADELAIDE_007 ~ L01-A84, TERMINAL 1, 5950, ADELAIDE, AUSTRALIA	ADL_AP1_SDN	vedge-cloud-dna	-	AU	AUSTRALIA	ADELAIDE	vedge-cloud	-	 APH-S S0+ backup vEdge PADL420\n Customer SQ Singapore Airlines\n Profile PLATINIUM + LBO ZSCALER + DBO	PADL419.PADL420	PADL419.PADL420		-	UCPEADL0002	sdwan_center_vedge	ADL	ADL	PADL419	backup	2	4096	10240
HAEP0001	HAEP0001	57.214.245.188																							UCPEAEP0001	hypervisor		AEP					
PAEP126	PAEP126	57.214.57.190	PAEP126	O/L	ICN_CPE_ROUTER	53849	airporthub	sita_sdwannet	SITA	FI023P9UAD	CI00178863 ~ 53849_ARG_BUENOS AIRES_008 ~ AEROPARQUE JORGE NEWBERY AIRPORT,, RAMBLA RAFAEL OBLIGADO, C1425DAA, BUENOS AIRES, ARGENTINA	APHS0+-CAT1-AEP-PRI-IPVPN	encs5412/k9	-	AR	ARGENTINA	BUENOS AIRES	cisco-integrated-services-virtual-router	VXE	INTEGRATED SERVICES VIRTUAL ROUTER SITA_SDWANNET BUENOS AIRES PAEP126 Virtual Machine hosted by ENCS HAEP0001 Infos:ZZZ Sdx Airports SOLUTIONS ARCHITECTS sdxairports.solutionsarchitects@orange.com	PAEP069.PAEP070	PAEP069.PAEP070		-	UCPEAEP0001	router_center_isrv	AEP	AEP	PAEP127	primary			
HAEP0002	HAEP0002	57.205.7.83																							UCPEAEP0002	hypervisor		AEP					
PAEP127	PAEP127	57.205.7.0	PAEP127	O/L	ICN_CPE_ROUTER	53849	airporthub	sita_sdwannet	SITA	FI023P9XA0	CI00178863 ~ 53849_ARG_BUENOS AIRES_008 ~ AEROPARQUE JORGE NEWBERY AIRPORT,, RAMBLA RAFAEL OBLIGADO, C1425DAA, BUENOS AIRES, ARGENTINA	APHS0+-CAT1-AEP-SEC-IPVPN	encs5412/k9	-	AR	ARGENTINA	BUENOS AIRES	cisco-integrated-services-virtual-router	VXE	INTEGRATED SERVICES VIRTUAL ROUTER SITA_SDWANNET BUENOS AIRES PAEP127 Virtual Machine hosted by ENCS HAEP0002 Infos:ZZZ Sdx Airports SOLUTIONS ARCHITECTS sdxairports.solutionsarchitects@orange.com	PAEP127	PAEP127		-	UCPEAEP0002	router_center_isrv	AEP	AEP	PAEP126	backup			
HAKL0001	HAKL0001	57.214.182.35																							UCPEAKL0001	hypervisor		AKL					
PAKL762	PAKL762	57.214.182.117	PAKL762	O/L	ICN_CPE_ROUTER	53849	airporthub	sita_sdwannet	SITA	FI02175EEF	CI00205995 ~ 53849_NZL_AUCKLAND_00011 ~ PAKL320, AUCKLAND INTERNATIONAL AIRPORT, 2022, AUCKLAND, NEW ZEALAND	-	encs5412/k9	-	NZ	NEW ZEALAND	AUCKLAND	cisco-integrated-services-virtual-router	VXE	INTEGRATED SERVICES VIRTUAL ROUTER SITA_SDWANNET AUCKLAND PAKL762 Virtual Machine hosted by ENCS HAKL0001 Infos:ZZZ Sdx Airports SOLUTIONS ARCHITECTS sdxairports.solutionsarchitects@orange.com	PAKL320.PAKL321	PAKL320.PAKL321		-	UCPEAKL0001	router_center_isrv	AKL	AKL	PAKL763	primary			
PAKL779	PAKL779	10.247.39.63	PAKL779	O/L	ICN_CPE_ROUTER	85	cathay pacific airways	cxnet	SITA	GO0AGTSU5F	CI00176232 ~ 43027_NZL_AUCKLAND_008 ~ AUCKLAND INTERNATIONAL AIRPORT, AUCKLAND, NEW ZEALAND	AKL_AP1_SDN	vedge-cloud-dna	-	NZ	NEW ZEALAND	AUCKLAND	vedgecloud	-	APH-S S0+ Primary vEdge PAKL779\n Customer CX Cathay Pacific\n Profile GOLD + LBO	PAKL779.PAKL780	PAKL779.PAKL780		-	UCPEAKL0001	sdwan_center_vedge	AKL	AKL	PAKL780	primary	2	4096	10240
PAKL781	PAKL781	10.247.78.190	PAKL781	O/L	ICN_CPE_ROUTER	60	singapore airlines ltd.	sqnet	SITA	GO0AFU4V5A	CI00175833 ~ 60_NZL_AUCKLAND_MIG_007 ~ GROUND FLOOR, AUCKLAND INTERNATIONAL AIRPORT, BEHIND CHECK-IN COUNTER 401, 53154, AUCKLAND, NEW ZEALAND	AKL_AP1_SDN	vedge-cloud-dna	-	NZ	NEW ZEALAND	AUCKLAND	vedge-cloud	-	 APH-S S0+ Primary vEdge PAKL781\n Customer SQ Singapore Airlines\n Profile PLATINIUM + LBO ZSCALER + DBO	PAKL781.PAKL782	PAKL781.PAKL782		-	UCPEAKL0001	sdwan_center_vedge	AKL	AKL	PAKL782	primary	2	4096	10240
PAKL801	PAKL801	10.247.94.185	PAKL801	O/L	ICN_CPE_ROUTER	166	china airlines ltd.	china_airnet	SITA	FI024WQNA4	CI00071887 ~ 166_NZL_AUCKLAND AIRPORT_00003 ~ FLOOR:ROOM GM60, 400 GEORGE BOLT MEMORIAL DRIVE, AUCKLAND AIRPORT, 2150, AUCKLAND, NEW ZEALAND	AKL-TT-SDN	vedge-cloud-dna	-	NZ	NEW ZEALAND	AUCKLAND	vedge-cloud	-	 APH-S S0+ Primary vEdge PAKL801\n Customer CI China Airlines\n Profile GOLD + LBO	PAKL801.PAKL802	PAKL801.PAKL802		-	UCPEAKL0001	sdwan_center_vedge	AKL	AKL	PAKL802	primary	2	4096	10240
