Device_name1	ORD__Customer_code	ORD__Customer_name	ORD__Main_Community___VPN	ORD__Country_code	ORD__Country_name	UCPE_name1	AirportHub_id	profile	vedge_mpls_interface1	airporthub_router1	mpls_bw1	internet_bw1	Device_name2	UCPE_name2	vedge_mpls_interface2	mpls_bw2	airporthub_router2	internet_bw2	interface1	interface2
PADL417	85	cathay pacific airways	cxnet		AUSTRALIA	UCPEADL0001	ADL			PADL173									fastethernet0/1/0	
PADL419	60	singapore airlines ltd.	sqnet	AU	AUSTRALIA	UCPEADL0001	ADL	Platinum	ge0/0.1503	PADL173	5120	12288	PADL420	UCPEADL0002	ge0/4.3951	5192	PADL174	12288	fastethernet0/1/0	fastethernet0/1/0
PADL418	85	cathay pacific airways	cxnet		AUSTRALIA	UCPEADL0002	ADL			PADL174									fastethernet0/1/0	fastethernet0/1/0
PAKL779	85	cathay pacific airways	cxnet	NZ	NEW ZEALAND	UCPEAKL0001	AKL	Gold	ge0/0.1502	PAKL320	4096	46080	PAKL780	UCPEAKL0002	ge0/4.3951	4096	PAKL321	46080	gigabitethernet0/1	gigabitethernet0/1
PAKL781	60	singapore airlines ltd.	sqnet	NZ	NEW ZEALAND	UCPEAKL0001	AKL	Platinum	ge0/0.1503	PAKL320	10240	9216	PAKL782	UCPEAKL0002	ge0/4.3951	10240	PAKL321	9216	gigabitethernet0/1	gigabitethernet0/1
PAKL801	166	china airlines ltd.	china_airnet	NZ	NEW ZEALAND	UCPEAKL0001	AKL	Gold	ge0/0.1505	PAKL320	1536	8192	PAKL802	UCPEAKL0002	ge0/4.3951	1536	PAKL321	8192	gigabitethernet0/1	gigabitethernet0/1
PAKL825	164	united airlines  inc.	unitednet	NZ	NEW ZEALAND	UCPEAKL0001	AKL		ge0/0.1510	PAKL320	10240	30720	PAKL826	UCPEAKL0002	ge0/4.3951	10240	PAKL321	30720	gigabitethernet0/1	gigabitethernet0/1
PAKL836	387	emirates	emiratesnet_aph	NZ	NEW ZEALAND	UCPEAKL0003	AKL		ge0/0.1507	PAKL320	1024	4096	PAKL837	UCPEAKL0004	ge0/4.3951	1024	PAKL321	4096	gigabitethernet0/1	gigabitethernet0/1
PAMS2929	85	cathay pacific airways	cxnet	NL	NETHERLANDS	UCPEAMS0001	AMS	Gold	ge0/0.1502	PSPL226	7168	20480	PAMS2930	UCPEAMS0002	ge0/4.3951	3072	PSPL225	20480	gigabitethernet0/0/1	gigabitethernet0/0/1
PAMS2941	166	china airlines ltd.	china_airnet		NETHERLANDS	UCPEAMS0001	AMS	Gold		PSPL226									gigabitethernet0/0/1	gigabitethernet0/0/1
PAMS2997	113	p.t. garuda indonesia (persero)	ganet	NL	NETHERLANDS	UCPEAMS0001	AMS	Gold	ge0/0.1504	PSPL226	2048	5120	PAMS2998	UCPEAMS0002	ge0/4.3951	2048	PSPL225	5120	gigabitethernet0/0/1	gigabitethernet0/0/1
PSPL704	60	singapore airlines ltd.	sqnet	NL	NETHERLANDS	UCPEAMS0001	AMS	Platinum	ge0/0.1503	PSPL226	7168	13312	PSPL705	UCPEAMS0002	ge0/4.3951	7168	PSPL225	13312	gigabitethernet0/0/1	gigabitethernet0/0/1
PAMS3210	387	emirates	emiratesnet_aph	NL	NETHERLANDS	UCPEAMS0007	AMS		ge0/0.1507	PSPL225	2048	8192	PAMS3211	UCPEAMS0008	ge0/4.3951	2048	PSPL226	8192	gigabitethernet0/0/1	gigabitethernet0/0/1
PANC109	85	cathay pacific airways	cxnet	US	UNITED STATES	UCPEANC0001	ANC	Gold	ge0/0.1502	PANC081	1024	3072	PANC110	UCPEANC0002	ge0/4.3951	1024	PANC082	3072	gigabitethernet0/1	
PARN209	387	emirates	emiratesnet_aph	SE	SWEDEN	UCPEARN0001	ARN		ge0/0.1507		1024	4096	PARN210	UCPEARN0002	ge0/4.3951	1024	PARN041	4096		
PAUA152	164	united airlines  inc.	unitednet	AW	ARUBA	UCPEAUA0001	AUA		ge0/0.1510	PAUA080	8192	20480	PAUA153	UCPEAUA0002	ge0/4.3951	8192	PAUA081	20480	gigabitethernet0/1	
PBCN3263	60	singapore airlines ltd.	sqnet	ES	SPAIN	UCPEBCN0003	BCN	Platinum	ge0/0.1503	PBCN867	6144	6144	PBCN3264	UCPEBCN0004	ge0/4.3951	6144	PBCN868	6144	gigabitethernet0/0/1	gigabitethernet0/0/1
PBCN3362	164	united airlines  inc.	unitednet	ES	SPAIN	UCPEBCN0003	BCN	Gold	ge0/0.1510	PBCN867	10240	30720	PBCN3363	UCPEBCN0004	ge0/4.3951	10240	PBCN868	30720	gigabitethernet0/0/1	gigabitethernet0/0/1
PBCN3413	387	emirates	emiratesnet_aph	ES	SPAIN	UCPEBCN0003	BCN		ge0/0.1507	PBCN867	1024	4096	PBCN3414	UCPEBCN0004	ge0/4.3951	1024	PBCN868	4096	gigabitethernet0/0/1	gigabitethernet0/0/1
PBKK2072	85	cathay pacific airways	cxnet	TH	THAILAND	UCPEBKK0003	BKK	Gold	ge0/0.1502	PBKK717	3072	44032	PBKK2073	UCPEBKK0004	ge0/4.3951	3072	PBKK718	44032	gigabitethernet0/1	
PBKK2074	85	cathay pacific airways	cxnet	TH	THAILAND	UCPEBKK0003	BKK	Gold	ge0/0.1511	PBKK717	10240	46080	PBKK2076	UCPEBKK0004	ge0/4.3951	3072	PBKK718	46080	gigabitethernet0/1	
PBKK2082	113	p.t. garuda indonesia (persero)	ganet	TH	THAILAND	UCPEBKK0003	BKK	Gold	ge0/0.1504	PBKK717	512	6144	PBKK2083	UCPEBKK0004	ge0/4.3951	512	PBKK718	6144	gigabitethernet0/1	
PBKK2103	60	singapore airlines ltd.	sqnet	TH	THAILAND	UCPEBKK0003	BKK	Platinum	ge0/0.1503	PBKK717	3072	21504	PBKK2104	UCPEBKK0004	ge0/4.3951	3072	PBKK718	21504	gigabitethernet0/1	
PBKK2168	387	emirates	emiratesnet_aph	TH	THAILAND	UCPEBKK0005	BKK		ge0/0.1507	PBKK717	1536	8192	PBKK2169	UCPEBKK0006	ge0/4.3951	1536	PBKK718	8192	gigabitethernet0/1	
PBLR1532	85	cathay pacific airways	cxnet	IN	INDIA	UCPEBLR0001	BLR		ge0/0.1502	PBLR469	2048	46080	PBLR1533	UCPEBLR0002	ge0/4.3951	2048	PBLR471	46080	gigabitethernet0/1	fastethernet0/1
PBLR1535	60	singapore airlines ltd.	sqnet	IN	INDIA	UCPEBLR0001	BLR		ge0/0.1503	PBLR469	2048	12288	PBLR1536	UCPEBLR0002	ge0/4.3951	2048	PBLR471	12288	gigabitethernet0/1	fastethernet0/1
